,relation,x_index,x_name,x_id,x_type,x_source,y_index,y_name,y_id,y_type,y_source,pmid,probability
0,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,diagnosis,,SDoH factor,healthypeople,35301255.0,0.5
1,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,disease-modifying treatments,,SDoH factor,healthypeople,35301255.0,0.5
2,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,elderly care,,SDoH factor,healthypeople,35301255.0,0.5
3,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,guidelines,,SDoH factor,healthypeople,35301255.0,0.5
4,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,protocols,,SDoH factor,healthypeople,35301255.0,0.5
5,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,psychiatry,,SDoH factor,healthypeople,35301255.0,0.5
6,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,colleagues,,SDoH factor,healthypeople,35301255.0,0.5
7,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,diagnosis,,SDoH factor,healthypeople,35301255.0,1.0
8,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,guidelines,,SDoH factor,healthypeople,35301255.0,1.0
9,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,disease-modifying treatments,,SDoH factor,healthypeople,35301255.0,1.0
10,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,elderly care,,SDoH factor,healthypeople,35301255.0,1.0
11,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,psychiatry,,SDoH factor,healthypeople,35301255.0,1.0
12,links,-1,amyloid accumulation,MESH:C000718787,Disease,ncbi_mesh,-1,risky environment,,SDoH factor,healthypeople,34879266.0,1.0
13,associates,-1,cerebral vulnerability,MESH:D002547,Disease,ncbi_mesh,-1,preventive screening,,SDoH factor,healthypeople,33522564.0,1.0
14,associates,-1,memory concerns,MESH:D008569,Disease,ncbi_mesh,-1,medical center,,SDoH factor,healthypeople,35404282.0,1.0
15,associates,-1,agitation,MESH:D011595,Disease,ncbi_mesh,-1,hospital admission,,SDoH factor,healthypeople,38427481.0,0.5
16,associates,-1,delirium,MESH:D003693,Disease,ncbi_mesh,-1,hospital readmissions,,SDoH factor,healthypeople,38427481.0,0.5
17,associates,-1,injuries,MESH:D014947,Disease,ncbi_mesh,-1,hospital readmissions,,SDoH factor,healthypeople,38427481.0,0.5
18,associates,-1,Alzheimer disease,MESH:D000544,Disease,ncbi_mesh,-1,delayed diagnosis,,SDoH factor,healthypeople,35930281.0,1.0
19,associates,-1,cortisol,MESH:D006854,Chemical,ncbi_mesh,-1,social support,,SDoH factor,healthypeople,33009040.0,0.666666667
20,associates,-1,inflammatory intestinal diseases,MESH:D007410,Disease,ncbi_mesh,-1,development,,SDoH factor,healthypeople,37422929.0,1.0
21,associates,-1,neurodegenerative diseases,MESH:D019636,Disease,ncbi_mesh,-1,development,,SDoH factor,healthypeople,37422929.0,0.5
22,associates,-1,cognitive decline,MESH:D003072,Disease,ncbi_mesh,-1,social relationships,,SDoH factor,healthypeople,34437609.0,0.5
23,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,social contact,,SDoH factor,healthypeople,34437609.0,0.5
24,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,social relationships,,SDoH factor,healthypeople,34437609.0,0.5
25,associates,-1,dementias,MESH:D003704,Disease,ncbi_mesh,-1,social contact,,SDoH factor,healthypeople,34437609.0,0.5
26,associates,-1,dementias,MESH:D003704,Disease,ncbi_mesh,-1,social relationships,,SDoH factor,healthypeople,34437609.0,0.5
27,associates,-1,cognitive decay,MESH:D003731,Disease,ncbi_mesh,-1,citizens,,SDoH factor,healthypeople,35147537.0,0.5
28,associates,-1,Neurodegenerative pathologies,MESH:D019636,Disease,ncbi_mesh,-1,education,,SDoH factor,healthypeople,38520489.0,0.5
29,associates,-1,Alzheimer disease,MESH:D000544,Disease,ncbi_mesh,-1,friends,,SDoH factor,healthypeople,33646980.0,0.5
30,associates,-1,dementias,MESH:D003704,Disease,ncbi_mesh,-1,friends,,SDoH factor,healthypeople,33646980.0,0.5
31,associates,-1,glial tauopathy,MESH:D024801,Disease,ncbi_mesh,-1,families,,SDoH factor,healthypeople,31190169.0,0.5
32,associates,-1,patient,9606,Species,ncbi_taxonomy,-1,social communication,,SDoH factor,healthypeople,34962993.0,1.0
33,associates,-1,communication difficulties,MESH:D003147,Disease,ncbi_mesh,-1,social communication,,SDoH factor,healthypeople,34962993.0,1.0
34,associates,-1,ill,MESH:D002908,Disease,ncbi_mesh,-1,families,,SDoH factor,healthypeople,37155702.0,1.0
35,associates,-1,death,MESH:D003643,Disease,ncbi_mesh,-1,disadvantaged groups,,SDoH factor,healthypeople,37295513.0,1.0
36,associates,-1,hypertension,MESH:D006973,Disease,ncbi_mesh,-1,racial disparities,,SDoH factor,healthypeople,37295513.0,0.5
37,associates,-1,diabetes mellitus,MESH:D003920,Disease,ncbi_mesh,-1,racial disparities,,SDoH factor,healthypeople,37295513.0,0.5
38,associates,-1,cerebrovascular diseases,MESH:D002561,Disease,ncbi_mesh,-1,racial disparities,,SDoH factor,healthypeople,37295513.0,0.5
39,associates,-1,brain pathology,MESH:D005598,Disease,ncbi_mesh,-1,cognitively rich activities,,SDoH factor,healthypeople,31732017.0,1.0
40,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,White,,SDoH factor,healthypeople,37532510.0,0.5
41,associates,-1,patients,9606,Species,ncbi_taxonomy,-1,well-being,,SDoH factor,healthypeople,31443505.0,0.5
42,associates,-1,Alzheimer's,MESH:D000544,Disease,ncbi_mesh,-1,health-care facility,,SDoH factor,healthypeople,31443505.0,1.0
43,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,support services,,SDoH factor,healthypeople,35128725.0,0.5
44,involves,-1,ACP,MESH:C562856,Disease,ncbi_mesh,-1,conversations,,SDoH factor,healthypeople,37482528.0,0.4
45,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,care system,,SDoH factor,healthypeople,36156705.0,0.5
46,influences,-1,aducanumab,MESH:C000600266,Chemical,ncbi_mesh,-1,trust,,SDoH factor,healthypeople,37218658.0,0.4
47,impacts,-1,Infection,MESH:D007239,Disease,ncbi_mesh,-1,healthcare systems,,SDoH factor,healthypeople,32458356.0,0.5
48,associates,-1,isolation,MESH:C565377,Disease,ncbi_mesh,-1,relationship satisfaction,,SDoH factor,healthypeople,36898849.0,1.0
49,associates,-1,dementia,MESH:D003704,Disease,ncbi_mesh,-1,Job satisfaction,,SDoH factor,healthypeople,32525436.0,0.666666667
50,associates,-1,people,9606,Species,ncbi_taxonomy,-1,Attitudes,,SDoH factor,healthypeople,32525436.0,0.5
51,associates,-1,people,9606,Species,ncbi_taxonomy,-1,Perceptions,,SDoH factor,healthypeople,32525436.0,0.5
52,associates,-1,people,9606,Species,ncbi_taxonomy,-1,Job satisfaction,,SDoH factor,healthypeople,32525436.0,1.0
53,burden on,-1,patients,9606,Species,ncbi_taxonomy,-1,healthcare systems,,SDoH factor,healthypeople,38730496.0,0.5
54,associates,-1,Dementia,MESH:D003704,Disease,ncbi_mesh,-1,Network,,SDoH factor,healthypeople,35362093.0,0.428571429
55,associates,-1,manganese,MESH:D008345,Chemical,ncbi_mesh,-1,occupational,,SDoH factor,healthypeople,33722243.0,0.5
56,associates,-1,parkinsonism,MESH:D010302,Disease,ncbi_mesh,-1,environmental,,SDoH factor,healthypeople,33722243.0,0.75
57,associates,-1,parkinsonism,MESH:D010302,Disease,ncbi_mesh,-1,occupational,,SDoH factor,healthypeople,33722243.0,0.5
58,associates,-1,impaired glucose metabolism,MESH:D044882,Disease,ncbi_mesh,-1,memory clinic settings,,SDoH factor,healthypeople,38423195.0,0.5
59,associates,-1,Deficits in social interaction,MESH:D009461,Disease,ncbi_mesh,-1,social interaction,,SDoH factor,healthypeople,37009893.0,1.0
60,associates,-1,participants,9606,Species,ncbi_taxonomy,-1,group,,SDoH factor,healthypeople,30406681.0,0.5
61,associates,-1,neurodevelopmental disorders,MESH:D002658,Disease,ncbi_mesh,-1,relationship,,SDoH factor,healthypeople,32989287.0,1.0
62,brought into the spotlight,-1,COVID-19,MESH:D000086382,Disease,ncbi_mesh,-1,accessibility,,SDoH factor,healthypeople,35062123.0,0.5
63,brought into the spotlight,-1,COVID-19,MESH:D000086382,Disease,ncbi_mesh,-1,availability,,SDoH factor,healthypeople,35062123.0,1.0
64,associates,-1,Alzheimer's disease,MESH:D000544,Disease,ncbi_mesh,-1,social interaction,,SDoH factor,healthypeople,33579855.0,0.428571429
65,associates,-1,agitation,MESH:D011595,Disease,ncbi_mesh,-1,care resistance,,SDoH factor,healthypeople,31688933.0,1.0
66,associates,-1,Neurocognitive disorders,MESH:D019965,Disease,ncbi_mesh,-1,society,,SDoH factor,healthypeople,33395102.0,1.0
67,associates,-1,psychiatric disorders,MESH:D001523,Disease,ncbi_mesh,-1,hospitalisation,,SDoH factor,healthypeople,35348586.0,0.5
