src_id,dst_id
75,58
4832,93
4833,93
11,83
11,97
54,106
54,133
139,149
54,339
4834,1357
11,154
54,154
4763,1391
54,18
75,587
75,224
75,83
75,136
11,60
54,447
11,681
11,18
54,111
54,81
4835,96
4836,20
1430,20
54,20
75,1291
11,778
11,791
54,791
75,596
11,87
11,406
1418,358
75,18
54,918
4836,1468
75,358
4763,18
54,129
4140,1484
228,995
54,199
4837,1014
439,228
54,1368
1418,1060
7,1070
4838,81
4839,1086
11,108
731,108
716,108
4840,1139
1391,14
54,431
75,1173
75,1185
75,273
13,129
11,1199
4841,74
4842,74
4843,74
4844,74
4845,74
14,20
75,199
75,704
11,1246
75,431
75,43
