src_id,dst_id
0,22
1,22
1,112
2,22
2,11
2,7
2,266
2,8
2,58
2,36
2,54
2,18
2,108
2,139
2,10
3,22
4,22
4,31
4,43
4,51
4,112
4,2
4,4
4,169
4,40
5,22
6,22
7,22
7,11
8,22
8,205
8,75
8,11
8,24
8,291
8,0
8,278
8,454
9,22
9,3
10,22
10,223
10,205
10,9
10,31
10,45
10,75
10,11
10,16
10,25
10,7
10,43
10,152
10,3
10,51
10,21
10,1027
10,238
10,24
10,90
10,640
10,291
10,112
10,266
10,56
10,62
10,65
10,8
10,0
10,2
10,278
10,58
10,97
10,132
10,23
10,96
10,36
10,19
10,4
10,53
10,95
10,540
10,228
10,54
10,104
10,94
10,454
10,116
10,190
10,18
10,169
10,14
10,13
10,532
10,87
10,128
10,108
10,107
10,79
10,162
10,40
10,196
10,15
10,165
10,28
10,91
10,1416
10,343
10,48
10,185
10,17
10,5
10,33
10,139
10,20
10,72
10,360
10,10
10,1418
11,11
11,540
11,54
11,18
11,108
12,7
13,223
14,223
15,75
15,11
15,0
15,104
15,15
15,343
16,860
16,8
16,97
16,18
16,343
17,16
17,6
17,2
17,97
17,23
17,95
17,786
18,9
18,31
18,75
18,11
18,25
18,7
18,43
18,112
18,56
18,8
18,58
18,23
18,36
18,4
18,228
18,54
18,18
18,169
18,87
18,108
18,40
18,15
18,33
18,72
19,205
19,9
19,90
19,58
19,104
19,146
19,185
20,75
21,786
22,786
23,786
24,48
25,1418
26,1418
27,786
28,786
29,45
30,75
30,786
31,8
31,14
31,5
32,54
32,1418
33,786
34,107
34,91
35,16
36,223
36,205
36,75
36,25
36,43
36,1027
36,65
36,58
36,97
36,87
36,196
36,15
36,185
37,16
37,62
37,65
37,54
37,162
38,6
38,23
38,95
39,94
40,108
41,190
42,2
43,23
43,95
44,18
44,33
45,205
45,53
45,54
45,33
45,72
46,860
47,10
48,31
48,72
49,65
50,8
51,6
51,2
52,228
53,75
53,51
53,238
53,24
53,97
53,95
53,144
53,169
53,33
53,1418
54,169
55,3
55,0
55,169
55,165
55,1417
56,228
56,144
56,94
57,223
57,7
58,223
58,1027
58,238
59,223
59,7
60,223
61,223
61,18
62,223
62,75
62,7
62,1027
62,24
62,112
62,97
62,95
62,169
62,107
62,91
62,185
62,139
62,1418
63,223
64,90
64,0
64,116
65,36
66,90
66,146
67,1120
67,673
68,266
68,144
69,14
70,45
71,79
72,79
73,33
74,16
75,205
75,3
75,6
75,8
75,2
75,54
75,190
75,1416
76,31
76,75
76,24
76,2
76,91
77,3
78,43
78,24
78,2
78,196
79,54
80,205
80,132
80,96
80,19
81,65
82,3
82,169
83,8
83,104
83,18
83,162
84,3
85,3
85,19
85,95
86,91
87,1418
87,575
88,2
89,65
89,14
89,91
89,33
90,87
91,205
91,860
91,343
92,205
92,97
92,343
93,87
94,205
94,90
94,860
94,97
94,14
94,13
94,139
95,205
96,17
97,94
98,3
99,190
99,1418
100,43
100,54
101,75
102,25
102,43
103,291
103,454
103,532
104,540
105,9
105,21
105,36
105,169
105,1418
106,107
107,8
107,18
108,20
109,228
110,291
110,132
110,96
110,4
110,540
110,454
110,532
111,162
112,454
112,532
113,169
114,18
115,8
116,454
117,95
118,75
118,24
118,91
119,75
119,25
119,1418
120,3
121,31
121,91
122,65
122,18
123,43
123,18
124,51
124,90
124,139
125,21
126,107
126,1418
127,31
127,75
127,1418
128,152
128,0
128,132
128,96
128,15
129,75
129,58
130,860
131,54
132,18
133,8
133,18
134,8
135,8
135,162
136,18
136,162
136,40
137,8
137,18
138,8
138,18
139,112
140,3
140,8
141,2
142,2
143,9
143,31
143,25
143,24
143,54
143,169
144,75
145,1027
146,108
147,169
147,1416
148,0
149,18
150,1120
150,58
150,104
