x_index,x_name,x_id,x_type,x_source
0,F2,2147,gene/protein,NCBI
1,SNRPD2,6633,gene/protein,NCBI
2,GSK3B,2932,gene/protein,NCBI
3,CALM1,801,gene/protein,NCBI
4,INS,3630,gene/protein,NCBI
5,NCSTN,23385,gene/protein,NCBI
6,EPHA1,2041,gene/protein,NCBI
7,BCHE,590,gene/protein,NCBI
8,ESR1,2099,gene/protein,NCBI
9,AMFR,267,gene/protein,NCBI
10,WWOX,51741,gene/protein,NCBI
11,APP,351,gene/protein,NCBI
12,PRKACA,5566,gene/protein,NCBI
13,PSEN2,5664,gene/protein,NCBI
14,PSEN1,5663,gene/protein,NCBI
15,VEGFA,7422,gene/protein,NCBI
16,ATP5F1A,498,gene/protein,NCBI
17,ARC,23237,gene/protein,NCBI
18,PPARG,5468,gene/protein,NCBI
19,IL1B,3553,gene/protein,NCBI
20,GAPDHS,26330,gene/protein,NCBI
21,CD33,945,gene/protein,NCBI
22,A2M,2,gene/protein,NCBI
23,IGF1R,3480,gene/protein,NCBI
24,CLU,1191,gene/protein,NCBI
25,BAX,581,gene/protein,NCBI
26,EPS15,2060,gene/protein,NCBI
27,FOXO3,2309,gene/protein,NCBI
28,SLC30A4,7782,gene/protein,NCBI
29,CHMP1A,5119,gene/protein,NCBI
30,CSNK2B,1460,gene/protein,NCBI
31,BIN1,274,gene/protein,NCBI
32,CTTN,2017,gene/protein,NCBI
33,CD2AP,23607,gene/protein,NCBI
34,POLR2F,5435,gene/protein,NCBI
35,CAPZA1,829,gene/protein,NCBI
36,IGF2R,3482,gene/protein,NCBI
37,CPSF1,29894,gene/protein,NCBI
38,SLC25A13,10165,gene/protein,NCBI
39,OXA1L,5018,gene/protein,NCBI
40,TNF,7124,gene/protein,NCBI
41,NR3C1,2908,gene/protein,NCBI
42,ACTC1,70,gene/protein,NCBI
43,BCL2,596,gene/protein,NCBI
44,EFEMP1,2202,gene/protein,NCBI
45,APOC1,341,gene/protein,NCBI
46,SGK1,6446,gene/protein,NCBI
47,CISH,1154,gene/protein,NCBI
48,TOMM40,10452,gene/protein,NCBI
49,AGTR1,185,gene/protein,NCBI
50,TIAL1,7073,gene/protein,NCBI
51,CASP3,836,gene/protein,NCBI
52,EGR1,1958,gene/protein,NCBI
53,INPP5D,3635,gene/protein,NCBI
54,MAPT,4137,gene/protein,NCBI
55,ERG,2078,gene/protein,NCBI
56,DPYSL2,1808,gene/protein,NCBI
57,ETS1,2113,gene/protein,NCBI
58,HMOX1,3162,gene/protein,NCBI
59,BIK,638,gene/protein,NCBI
60,CSNK1D,1453,gene/protein,NCBI
61,HSP90AB1,3326,gene/protein,NCBI
62,EIF2S1,1965,gene/protein,NCBI
